x,y,variable
339.4100869,55.77492982,7.853460245
848.570605,260.6161241,8.728269885
966.6457777,211.1430847,9.702269038
204.6759762,284.5703268,16.60958883
239.9501971,128.5781726,-8.322681156
155.3202395,408.766252,17.32565826
596.995631,210.5908057,3.955262369
949.1583437,368.821741,-1.086837671
446.8340706,170.1401492,-1.120427673
869.1231241,121.1751108,-2.823483353
40.63445819,283.9382762,2.325717156
311.5650881,67.89567997,-2.205528426
742.8784678,221.8063769,-5.922769862
170.2640543,391.3053859,12.88023898
409.4958117,405.9342699,2.875114088
931.5965557,13.18416104,1.1263366
433.2089908,362.4771924,-10.81968968
964.2658383,292.625088,-5.588451955
956.3818895,181.4409746,-12.25552933
784.0059046,325.5943507,11.4410512
866.9944117,450.4857907,-3.313630591
169.4914259,361.4102576,11.2973689
396.8760087,444.0813498,4.812853474
287.3853538,182.1345553,6.692223227
509.2123896,207.7914414,7.629081369
411.3341812,404.1810996,6.268257115
420.2705154,293.2783702,-0.221701969
622.363474,499.8233408,2.979535518
904.1280486,65.89871179,-6.244199768
21.69640595,455.9565979,14.3496146
329.7169891,379.0692555,5.083254314
621.9756093,169.1474217,1.406086157
573.7850147,205.6449284,-7.005761408
692.2386379,292.602927,-19.61732116
805.2404057,269.7424609,5.60402119
827.1578292,270.0119924,4.833193602
428.7255255,340.6342105,-17.89676458
227.1693745,9.441306582,-8.63546091
507.0588125,130.8016594,-8.454142494
703.9719014,53.18217888,17.33847376
161.342138,74.54296178,12.78977413
71.07756706,228.8552355,-4.948369671
863.0836585,439.7609775,24.30376745
937.2971067,484.4653276,-23.10548624
158.7060429,221.3810603,-5.385366362
723.8425326,256.4452405,-13.91332868
694.0804983,42.49866738,6.417172243
601.5713308,335.8986925,-4.594825577
285.5280126,215.6216546,-0.242589081
599.8468269,1.252068905,-2.137376078
175.7859001,413.3514178,-12.75655249
448.7285963,128.3592167,9.844233686
805.1610792,68.95008613,-1.375733834
822.4990587,202.6475057,4.768349929
682.664739,343.9873899,-10.80063951
975.1325743,102.9943484,2.513876953
149.2337105,381.880751,15.09318033
846.1046449,116.8503542,-5.46184102
512.9114371,277.8168521,10.95882695
677.3188524,216.6709766,-3.508647412
851.4756276,484.0308469,7.400843332
701.9999265,264.4659251,-11.44379599
304.958971,351.129098,4.216035169
773.6580845,326.5359497,10.25081341
962.2807016,438.1785382,-14.87352254
619.2270424,117.3282431,5.369968222
79.33399896,12.26371014,-0.68238964
851.2097355,444.164851,10.24241023
563.2767566,229.015343,11.13740803
703.6118186,339.353767,-7.391023612
418.2214858,386.0588932,3.520507696
989.8845251,25.57765064,-9.717606139
144.6238908,36.82672861,0.35652746
456.6895578,402.0667627,-13.73991172
428.9238702,235.5477829,0.89723057
363.2691575,384.4868004,2.744851052
779.4144447,284.80411,6.288819218
649.4890898,444.3010405,0.784533265
109.6128952,67.62817944,1.168257123
447.9858021,410.5249664,-14.22169265
247.8578251,72.69375026,-2.67173747
778.9152872,378.2303968,6.822836583
724.4136278,457.4744619,-7.245010995
174.7303957,390.3688753,14.71777394
36.03684832,22.74455933,-13.99893184
315.4646324,348.5308355,2.393542184
227.9860096,136.0834925,-1.707026927
492.1492415,124.6693964,-8.889478578
113.9273585,35.18234042,1.981941575
262.5561466,21.20420558,1.337690419
640.4150149,181.2554959,4.266987679
944.9470975,13.40186852,-16.34592997
294.9374462,347.925615,5.108416375
718.5053066,434.3279329,-6.48688971
516.7591635,322.1213929,-7.551251095
513.0300743,130.6596673,-2.60527675
14.63645697,498.5244827,21.72089665
618.3666461,101.1392274,1.445390674
681.9368938,485.3408659,3.600986431
597.0719778,479.8456525,-10.06206787
15.66756004,210.0875773,1.151322823
244.5888419,120.6185524,-11.11203654
430.1404525,180.4077178,3.829171874
206.3182038,222.4419483,-13.87688253
632.1047149,226.6911874,16.26788388
546.8224843,454.5296889,3.001735976
529.7958276,82.18298352,-7.142935168
818.3593957,241.533785,7.778663627
902.4460162,482.9964016,-15.65255765
468.54256,82.25244377,-5.253319102
719.7262596,51.13048851,-5.400543211
248.7821777,320.8882211,-5.499175282
912.8762628,299.942018,-11.46834787
225.3632441,129.1624558,5.910553989
594.6822579,175.6462675,-7.65479122
389.9762291,275.4136006,6.503586178
511.2636038,86.9769227,3.002269999
884.1294278,276.3299067,3.961464322
12.46446441,351.5535429,2.217752409
